dokument_aar,dokument_nr,embete
1980,14847,101
1980,118,63
1980,4201,22
1980,2377,31
1980,410038,90
1980,1349,50
1980,302290,3
1980,2784,27
1980,3856,18
1980,3248,8
1980,4593,32
1980,8442,93
1980,409084,90
1980,462,70
1980,6328,72
1980,9859,19
1980,1381,61
1980,9233,47
1980,305976,61
1980,9460,87
1980,10092,60
1980,174,23
1981,1371,67
1981,9909,49
1981,1228,90
1981,5855,60
1981,2432,51
1981,5193,13
1981,4024,57
1981,2972,25
1981,5909,61
1981,10132,11
1981,1721,101
1981,3907,90
1981,11475,25
1981,9760,49
1981,3805,87
1981,6214,29
1981,16389,100
1981,1056,91
1981,9568,60
1981,29505,105
1981,11000,100
1981,15613,102
1982,29367,106
1982,6226,64
1982,5739,20
1982,3122,48
1982,4851,61
1982,18068,106
1982,9250,101
1982,4195,15
1982,6075,61
1982,660,35
1982,2178,77
1982,2167,42
1982,13250,101
1982,1140,85
1982,3845,26
1982,441,74
1982,7973,23
1982,3750,23
1982,380,28
1982,10740,91
1982,13868,91
1982,4790,18
1983,23684,107
1983,6470,91
1983,906399,69
1983,14354,106
1983,300617,3
1983,374,48
1983,3855,97
1983,3994,78
1983,9811,100
1983,7598,67
1983,8269,102
1983,4576,14
1983,25079,106
1983,3291,36
1983,1161,70
1983,4051,49
1983,311,39
1983,2482,57
1983,4687,77
1983,429,43
1983,4400,16
1984,6117,1
1984,12775,49
1984,409585,90
1984,5675,23
1984,7349,86
1984,4789,19
1984,34388,106
1984,4462,66
1984,11734,86
1984,849,45
1984,5880,16
1984,33715,100
1984,217,57
1984,106302,58
1984,9630,5
1984,5471,56
1984,2374,17
1984,14192,100
1984,2555,55
1984,1785,80
1984,8877,47
1984,401737,75
1985,756,52
1985,2641,70
1985,1550,25
1985,2979,80
1985,7228,28
1985,6978,80
1985,5408,15
1985,10878,58
1985,22275,101
1985,18654,105
1985,3069,11
1985,7996,30
1985,5210,26
1985,8354,37
1985,24465,105
1985,8545,20
1985,7619,68
1985,23863,100
1985,10000,106
1985,9784,50
1985,3405,77
1985,9695,93
1986,8844,105
1986,12087,10
1986,3173,30
1986,17743,105
1986,7207,23
1986,8734,51
1986,1338,72
1986,7007,29
1986,12673,8
1986,6099,55
1986,2670,63
1986,4199,105
1986,14816,93
1986,746,68
1986,17294,102
1986,109512,11
1986,1509,82
1986,103603,93
1986,6789,65
1986,8471,74
1986,310805,3
1986,12595,90
1987,266,29
1987,4887,58
1987,24712,106
1987,2603,97
1987,1,65
1987,28581,105
1987,116,1
1987,8403,11
1987,2507,101
1987,108656,8
1987,5384,83
1987,1137,37
1987,7294,79
1987,28,26
1987,25201,100
1987,1843,53
1987,32962,100
1987,5480,72
1987,3758,21
1987,5662,67
1987,28318,106
1987,106601,11
1988,887,67
1988,6732,66
1988,12412,101
1988,2613,52
1988,1459,31
1988,6332,43
1988,4589,51
1988,3078,27
1988,5513,106
1988,13914,101
1988,10346,49
1988,3272,2
1988,2842,32
1988,73867,105
1988,411601,97
1988,14760,86
1988,6812,105
1988,2197,31
1988,45126,106
1988,906690,69
1988,4479,28
1988,2362,85
1989,4416,72
1989,864,23
1989,7083,74
1989,22971,100
1989,9689,87
1989,401819,90
1989,7180,67
1989,10665,86
1989,8331,49
1989,4534,63
1989,106679,58
1989,3338,43
1989,4335,65
1989,3981,56
1989,58485,105
1989,417693,86
1989,1989,68
1989,8913,68
1989,20895,106
1989,1450,21
1989,4710,23
1989,1355,44
1990,305102,61
1990,9291,8
1990,119,69
1990,103753,11
1990,7091,37
1990,3878,8
1990,3661,26
1990,13818,91
1990,2416,25
1990,355,61
1990,10718,90
1990,10957,49
1990,23167,100
1990,978,68
1990,2791,87
1990,18842,100
1990,7602,86
1990,2199,34
1990,970,5
1990,1929,84
1990,4384,64
1990,1939,40
1991,1598,71
1991,2312,50
1991,1395,47
1991,3477,13
1991,12934,106
1991,5088,45
1991,2862,75
1991,3985,105
1991,3965,45
1991,1345,47
1991,3686,60
1991,11942,50
1991,36,35
1991,1786,25
1991,12430,50
1991,9990,106
1991,4713,6
1991,59180,105
1991,2665,3
1991,3105,78
1991,1901,53
1991,4678,100
1992,8236,10
1992,3143,28
1992,2568,20
1992,3329,69
1992,3343,41
1992,8966,90
1992,1754,65
1992,3295,46
1992,5595,51
1992,2274,65
1992,29140,106
1992,4939,67
1992,4589,19
1992,1899,14
1992,4908,86
1992,10525,107
1992,8191,78
1992,8997,105
1992,26911,100
1992,2033,54
1992,5945,106
1992,4842,11
1993,4626,86
1993,2735,18
1993,908,102
1993,5907,1
1993,19634,61
1993,12040,44
1993,3290,10
1993,1534,1
1993,2638,53
1993,2064,79
1993,9961,67
1993,6241,93
1993,5998,86
1993,223,90
1993,2788,32
1993,2367,41
1993,10696,49
1993,2214,54
1993,1152,49
1993,4192,78
1993,18616,61
1993,13987,106
1994,43293,105
1994,12501,106
1994,1121,35
1994,1031,93
1994,2684,48
1994,2162,30
1994,2589,90
1994,118,40
1994,6618,64
1994,3960,8
1994,1752,31
1994,8509,67
1994,3729,26
1994,5387,9
1994,8204,25
1994,5202,106
1994,6443,64
1994,11615,93
1994,4143,16
1994,4427,13
1994,17124,97
1995,173,106
1995,18693,107
1995,306,30
1995,15622,102
1995,2204,34
1995,4775,17
1995,560,52
1995,1375,67
1995,9338,3
1995,6688,68
1995,9765,50
1995,8819,36
1995,12366,86
1995,2770,82
1995,10979,100
1995,7198,74
1995,2352,75
1995,2971,36
1995,63145,105
1995,3778,82
1995,593,60
1995,13286,8
1996,3878,71
1996,21454,107
1996,5798,3
1996,857,82
1996,6428,49
1996,2397,61
1996,27594,100
1996,3269,68
1996,28669,106
1996,5151,56
1996,5866,102
1996,1168,18
1996,6059,20
1996,3452,42
1996,53079,105
1996,823,13
1996,23533,106
1996,14124,101
1996,1954,50
1996,1947,85
1996,4855,75
1996,6835,101
1997,5703,11
1997,6278,75
1997,15690,93
1997,2994,33
1997,4255,35
1997,4444,29
1997,25801,105
1997,4379,28
1997,30167,106
1997,3990,35
1997,4493,51
1997,3904,79
1997,52545,105
1997,13685,50
1997,1788,30
1997,3291,71
1997,3631,39
1997,3417,90
1997,3609,51
1997,4457,60
1997,3587,22
1997,8568,87
1998,2469,23
1998,5599,61
1998,8801,50
1998,8105,50
1998,8331,61
1998,813,71
1998,4009,80
1998,4264,8
1998,1756,97
1998,168,15
1998,5420,71
1998,4248,58
1998,8131,9
1998,4023,77
1998,2208,37
1998,70358,105
1998,8422,60
1998,10569,101
1998,3106,101
1998,610,86
1998,804,47
1998,4024,61
1999,6424,30
1999,3151,64
1999,385,23
1999,669,65
1999,4816,60
1999,14544,101
1999,8,34
1999,7886,47
1999,2688,34
1999,26305,100
1999,19043,102
1999,17605,100
1999,4703,36
1999,4577,39
1999,1381,2
1999,5685,101
1999,2228,106
1999,2343,47
1999,8026,90
1999,246,74
1999,7317,20
1999,8586,74
2000,4010,71
2000,6125,45
2000,3102,10
2000,1372,74
2000,2370,102
2000,78381,105
2000,4978,69
2000,3463,74
2000,4682,51
2000,12050,6
2000,5616,63
2000,9879,107
2000,4120,21
2000,14937,100
2000,11560,86
2000,5376,67
2000,3920,102
2000,2238,61
2000,5236,45
2000,1605,48
2000,4899,64
2000,45264,105
2001,2643,35
2001,9270,60
2001,1501,20
2001,22923,106
2001,3328,26
2001,2830,28
2001,34441,100
2001,3873,71
2001,11112,47
2001,2717,3
2001,2213,60
2001,7418,75
2001,7331,91
2001,3016,3
2001,7155,29
2001,1152,27
2001,9906,61
2001,1612,53
2001,3417,31
2001,2031,39
2001,10144,61
2001,22324,93
2002,9425,67
2002,13589,25
2002,7113,75
2002,5854,15
2002,11457,58
2002,6690,97
2002,5760,17
2002,15281,97
2002,6077,86
2002,3619,56
2002,10292,44
2002,5378,65
2002,6659,36
2002,36636,100
2002,1783,39
2002,35900,106
2002,11096,43
2002,2443,72
2002,7787,105
2002,1197,15
2002,6808,64
2002,5436,68
2003,14469,90
2003,4335,80
2003,231,83
2003,13561,93
2003,2903,61
2003,866,106
2003,7974,25
2003,4254,86
2003,3456,82
2003,29025,100
2003,63887,105
2003,1875,63
2003,4953,2
2003,3175,70
2003,11663,107
2003,2633,106
2003,1943,2
2003,5555,87
2003,2338,22
2003,739,75
2003,22866,107
2003,6324,55
2004,7633,69
2004,7143,107
2004,6655,29
2004,12765,86
2004,1803,36
2004,7257,29
2004,10596,58
2004,67194,105
2004,3599,93
2004,9139,67
2004,87447,105
2004,24242,90
2004,9803,36
2004,8676,25
2004,4051,86
2004,6573,64
2004,6497,20
2004,1237,60
2004,1721,101
2004,21016,93
2004,9373,58
2004,10085,51
2005,113980,200
2005,12274,102
2005,2199,23
2005,6554,67
2005,63258,105
2005,4498,79
2005,16,93
2005,13760,67
2005,7660,44
2005,130737,200
2005,9452,101
2005,5880,72
2005,69693,105
2005,120569,200
2005,668,15
2005,65464,105
2005,12116,49
2005,109482,200
2005,2165,48
2005,2763,51
2005,376,19
2005,2870,3
2006,129130,200
2006,208699,200
2006,208713,200
2006,474958,200
2006,647231,200
2006,311945,200
2006,521134,200
2006,539708,200
2006,20317,102
2006,570455,200
2006,643867,200
2006,499852,200
2006,474762,200
2006,530578,200
2006,529674,200
2006,160266,200
2006,625013,200
2006,451283,200
2006,14449,91
2006,184,66
2006,214369,200
2006,446929,200
2007,201907,201
2007,207937,201
2007,497516,200
2007,384934,200
2007,498147,200
2007,115682,200
2007,949467,200
2007,576936,200
2007,456898,200
2007,800122,200
2007,1063430,200
2007,2046,19
2007,520436,200
2007,835281,200
2007,219119,201
2007,244391,200
2007,603661,200
2007,590811,200
2007,864320,200
2007,118480,200
2007,748837,200
2007,1176,82
2008,162922,201
2008,586082,200
2008,811407,200
2008,134432,201
2008,985051,200
2008,292703,200
2008,626866,200
2008,184337,200
2008,262089,200
2008,104291,201
2008,666624,200
2008,668263,200
2008,911017,200
2008,35774,201
2008,80207,201
2008,796950,200
2008,132151,200
2008,513913,200
2008,879139,200
2008,624848,200
2008,324620,200
2008,548105,200
2009,461511,200
2009,198885,200
2009,885677,200
2009,738768,200
2009,689281,200
2009,65419,200
2009,305572,200
2009,359311,200
2009,156002,201
2009,66117,201
2009,244536,200
2009,190311,201
2009,273083,200
2009,642635,200
2009,659579,200
2009,163311,200
2009,1004305,200
2009,98031,200
2009,461853,200
2009,303138,200
2009,172074,201
2009,132721,200
2010,190809,200
2010,624130,200
2010,54498,201
2010,1033960,200
2010,196777,200
2010,772070,200
2010,64966,200
2010,569383,200
2010,98433,201
2010,944336,200
2010,694084,200
2010,101870,201
2010,923067,200
2010,669495,200
2010,229861,200
2010,168296,201
2010,894622,200
2010,673283,200
2010,706814,200
2010,916063,200
2010,91902,201
2010,249559,200
2011,640248,200
2011,895839,200
2011,467282,200
2011,342830,200
2011,411300,200
2011,125870,200
2011,90747,200
2011,515579,200
2011,682961,200
2011,47295,201
2011,897461,200
2011,17807,201
2011,830256,200
2011,19647,201
2011,409741,200
2011,625352,200
2011,194227,200
2011,672976,200
2011,858850,200
2011,148749,201
2011,647307,200
2011,75876,201
2012,492040,200
2012,113122,200
2012,243722,200
2012,268106,200
2012,249298,200
2012,838488,200
2012,26405,201
2012,219969,200
2012,863425,200
2012,240551,200
2012,205186,201
2012,106299,200
2012,130766,201
2012,381755,200
2012,168089,200
2012,210622,200
2012,163682,200
2012,543695,200
2012,715008,200
2012,813249,200
2012,343635,200
2012,75134,200
2013,372948,200
2013,800652,200
2013,743003,200
2013,9184,201
