dokument_aar,dokument_nr,embete,sidetall,index,type,height,width,x,y
2017,52610,201,1,0,PERSONNUMMER,11.0,29.5,325.0,211.5
1980,14847,101,1,0,PERSONNUMMER,17.223385011587993,46.110317390894934,534.4439908900371,303.888722776122
1980,14847,101,1,1,PERSONNUMMER,13.888888888888856,43.33333333333337,529.4444444444445,408.8888888888889
1980,2377,31,1,0,PERSONNUMMER,15.0,51.666666666666686,339.44444444444446,363.8888888888889
1980,2377,31,1,1,PERSONNUMMER,11.666666666666629,37.222464417479834,435.55519226266904,292.7776862077174
1980,2784,27,1,0,PERSONNUMMER,9.444444444444455,31.66666666666669,221.11111111111111,132.77777777777777
1980,2784,27,1,1,PERSONNUMMER,9.444444444444455,31.11111111111111,221.1111273815916,145.0
1980,3856,18,1,0,PERSONNUMMER,10.555555555555545,33.888888888888914,528.8888888888889,301.6666666666667
1980,3856,18,1,1,PERSONNUMMER,10.0,33.33341789706903,529.4444444444445,320.5555555555556
1980,4201,22,1,0,PERSONNUMMER,16.0,44.99999999999994,506.6666666666666,166.99999999999997
1980,4201,22,1,1,PERSONNUMMER,13.666666666666686,43.666666666666686,473.3333333333332,204.99999999999991
1980,4593,32,1,0,PERSONNUMMER,16.666666666666657,40.55555555555566,526.1111111111111,252.7777777777778
1980,174,23,1,0,PERSONNUMMER,11.111111111111114,35.0,377.77777777777777,205.55555555555557
1980,9859,19,1,0,PERSONNUMMER,8.438399920747994,31.210542625095048,250.000000000002,196.70182392746077
1980,9460,87,1,0,PERSONNUMMER,15.0,40.55555555555554,536.6666666666667,308.33333333333337
1980,9460,87,1,1,PERSONNUMMER,13.888888888888914,43.33333333333337,531.1111111111111,410.0
1980,9460,87,1,2,PERSONNUMMER,12.222222222222229,41.66666666666663,533.3333333333334,430.0
1981,2972,25,1,0,PERSONNUMMER,10.555555555555571,64.44444444444446,207.22222222222223,146.11111111111111
2023,37315,200,1,0,PERSONNUMMER,7.7777777777777715,25.555555555555543,404.44444444444446,306.6666666666667
2023,37315,200,1,1,PERSONNUMMER,8.333333333333258,25.0,207.7777777777778,647.2222222222223
2023,37315,200,2,2,PERSONNUMMER,10.0,25.555555555555557,76.66666666666667,258.33333333333337
1981,2432,51,1,0,PERSONNUMMER,9.444444444444455,36.111111111111086,458.33333333333337,177.77777777777777
1981,1371,67,1,0,PERSONNUMMER,9.73684210526315,35.78947368421052,511.5789473684208,187.10526315789463
