dokument_aar,dokument_nr,embete,sidetall,index,type,height,width,x,y
2017,52610,201,1,0,PERSONNUMMER,11,29.5,325,211.5
1980,14847,101,1,0,PERSONNUMMER,17.223385011587993,46.110317390894934,534.4439908900371,303.888722776122
1980,14847,101,1,1,PERSONNUMMER,13.888888888888857,43.33333333333337,529.4444444444445,408.8888888888889
1980,2377,31,1,0,PERSONNUMMER,15,51.666666666666686,339.44444444444446,363.8888888888889
1980,2377,31,1,1,PERSONNUMMER,11.666666666666629,37.222464417479834,435.55519226266904,292.7776862077174
1980,2784,27,1,0,PERSONNUMMER,9.444444444444457,31.666666666666686,221.11111111111111,132.77777777777777
1980,2784,27,1,1,PERSONNUMMER,9.444444444444457,31.111111111111114,221.1111273815916,145
1980,3856,18,1,0,PERSONNUMMER,10.555555555555543,33.888888888888914,528.8888888888889,301.6666666666667
1980,3856,18,1,1,PERSONNUMMER,10,33.33341789706903,529.4444444444445,320.5555555555556
1980,4201,22,1,0,PERSONNUMMER,16,44.99999999999994,506.6666666666666,166.99999999999997
1980,4201,22,1,1,PERSONNUMMER,13.666666666666686,43.666666666666686,473.3333333333332,204.99999999999994
1980,4593,32,1,0,PERSONNUMMER,16.666666666666657,40.55555555555566,526.1111111111111,252.7777777777778
1980,174,23,1,0,PERSONNUMMER,11.111111111111114,35,377.77777777777777,205.55555555555557
1980,9859,19,1,0,PERSONNUMMER,8.438399920747994,31.210542625095048,250.000000000002,196.70182392746077
1980,9460,87,1,0,PERSONNUMMER,15,40.55555555555554,536.6666666666667,308.33333333333337
1980,9460,87,1,1,PERSONNUMMER,13.888888888888914,43.33333333333337,531.1111111111111,410
1980,9460,87,1,2,PERSONNUMMER,12.222222222222229,41.66666666666663,533.3333333333334,430
1981,2972,25,1,0,PERSONNUMMER,10.555555555555571,64.44444444444446,207.22222222222223,146.11111111111111
2023,37315,200,1,0,PERSONNUMMER,7.7777777777777715,25.555555555555543,404.44444444444446,306.6666666666667
2023,37315,200,1,1,PERSONNUMMER,8.333333333333258,25,207.7777777777778,647.2222222222223
2023,37315,200,2,2,PERSONNUMMER,10,25.555555555555557,76.66666666666667,258.33333333333337
1981,2432,51,1,0,PERSONNUMMER,9.444444444444457,36.111111111111086,458.33333333333337,177.77777777777777
1981,1371,67,1,0,PERSONNUMMER,9.73684210526315,35.78947368421052,511.5789473684208,187.10526315789465
1981,1371,67,1,1,PERSONNUMMER,11.31578947368422,34.21052631578945,215.52631578947359,240.7894736842104
1981,1721,101,1,0,PERSONNUMMER,13.333376281354385,52.777899608355405,264.4443226138669,585.5555555555555
1981,1721,101,1,1,PERSONNUMMER,11.666666666666629,57.77777777777783,469.44444444444446,564.4444444444445
1980,1381,61,1,0,PERSONNUMMER,13.888888888888914,38.33333333333337,290,249.44444444444446
1980,1381,61,1,1,PERSONNUMMER,12.777777777777771,40,543.8888888888889,250
1980,1381,61,1,2,PERSONNUMMER,13.333333333333371,48.333333333333314,408.33333333333337,310
1984,409585,90,1,0,PERSONNUMMER,9.444444444444457,32.7777777777778,148.88888888888889,257.77777777777777
1981,9909,49,1,0,PERSONNUMMER,10.78947368421052,36.57894736842104,255.2631578947367,219.73684210526307
1981,9909,49,1,1,PERSONNUMMER,11.31578947368422,36.31578947368419,145.26315789473676,238.68421052631567
1981,9909,49,1,2,PERSONNUMMER,11.052631578947398,34.73684210526312,344.2105263157893,256.84210526315775
1981,5193,13,1,0,PERSONNUMMER,11.052631578947363,43.9473684210526,403.1578947368419,35.26315789473683
1981,4024,57,1,0,PERSONNUMMER,11.666666666666686,37.77777777777777,435,148.88888888888889
1981,4024,57,1,1,PERSONNUMMER,11.666666666666686,37.22222222222217,435.5555555555556,167.77777777777777
1981,3907,90,1,0,PERSONNUMMER,10.78947368421052,36.31578947368416,481.8421052631577,307.10526315789457
1981,3907,90,1,1,PERSONNUMMER,10.526315789473642,36.31578947368416,481.8421052631577,326.84210526315775
1981,3907,90,1,2,PERSONNUMMER,11.842105263157862,33.9473684210526,482.6315789473682,415.26315789473665
1981,3907,90,1,3,PERSONNUMMER,12.10526315789474,35.5263157894737,482.1052631578945,433.42105263157873
1981,15613,102,1,0,PERSONNUMMER,12.777777777777771,38.33333333333337,447.22222222222223,148.33333333333334
1981,15613,102,1,1,PERSONNUMMER,12.222222222222229,38.333333333333314,433.8888888888889,238.88888888888889
1981,15613,102,1,2,PERSONNUMMER,11.111111111111086,37.22222222222223,428.33333333333337,608.3333333333334
1981,15613,102,1,3,PERSONNUMMER,13.888888888888914,44.44444444444443,228.33333333333334,755.5555555555555
1981,15613,102,1,4,PERSONNUMMER,15.555555555555543,58.333333333333314,486.11111111111114,753.3333333333334
2023,73325,200,1,0,PERSONNUMMER,8.333333333333371,25.5555555555556,405,305.55555555555554
2023,73325,200,1,1,PERSONNUMMER,9.444444444444457,24.444444444444457,404.44444444444446,320.55555555555554
2023,73325,200,1,2,PERSONNUMMER,9.999999999999998,24.444649324369127,208.33312845340882,584.444444444444
2023,73325,200,1,3,PERSONNUMMER,8.333333333333258,25.555555555555543,207.7777777777778,601.6666666666667
2023,73325,200,1,4,PERSONNUMMER,8.888888888888802,25.555965315404794,76.1107013512619,697.2222222222229
2023,73325,200,1,5,PERSONNUMMER,8.333333333333371,25,76.66666666666667,712.7777777777778
1981,16389,100,1,0,PERSONNUMMER,13.333333333333343,37.77777777777783,529.4444444444445,145
1981,6214,29,1,0,PERSONNUMMER,11.578947368421069,36.05263157894734,453.94736842105243,225.7894736842104
1981,6214,29,1,1,PERSONNUMMER,10.52631578947367,35.78947368421052,454.21052631578925,243.94736842105252
1981,6214,29,1,2,PERSONNUMMER,11.052631578947341,35.78947368421052,455.7894736842103,261.5789473684209
1981,6214,29,1,3,PERSONNUMMER,11.31578947368422,36.05263157894734,455.7894736842103,279.736842105263
1981,6214,29,1,4,PERSONNUMMER,10.789473684210519,36.57895823695088,455.526304920944,297.6315789473683
1981,6214,29,1,5,PERSONNUMMER,10.78947368421052,35.78947368421052,453.94736842105243,316.31578947368405
1981,6214,29,1,6,PERSONNUMMER,11.3157894736842,36.84212700021756,453.42103089451973,333.9473684210535
1981,6214,29,1,7,PERSONNUMMER,11.315789473684163,36.57894736842104,455.5263157894735,351.84210526315775
1982,6226,64,1,0,PERSONNUMMER,10.555555555555543,36.66666666666663,323.33333333333337,246.66666666666669
1982,2167,42,2,0,PERSONNUMMER,12.777777777777828,41.111111111111114,186.11111111111111,590.5555555555555
1981,29505,105,1,0,PERSONNUMMER,10.263157894736821,36.052631578947285,537.6315789473682,312.36842105263145
1981,29505,105,1,1,PERSONNUMMER,10.78947368421052,35.52631578947364,537.3684210526313,414.73684210526295
1981,29505,105,1,2,PERSONNUMMER,10.78947368421052,36.052631578947285,536.5789473684208,432.6315789473682
1982,13250,101,1,0,PERSONNUMMER,11.111136894540612,35.55052398059965,424.44481715370085,162.7777863722545
1982,3750,23,1,0,PERSONNUMMER,11.111111111111114,36.111111111111086,420.5555555555556,193.33333333333334
1982,3750,23,1,1,PERSONNUMMER,13.333333333333314,36.11111111111113,110.55555555555556,216.66666666666669
1982,441,74,1,0,PERSONNUMMER,12.222222222222229,35.55555555555557,206.11111111111111,210.55555555555557
1982,441,74,1,1,PERSONNUMMER,10,35,315,252.22222222222223
1982,13868,91,1,0,PERSONNUMMER,11.666666666666686,35,540,312.22222222222223
1982,13868,91,1,1,PERSONNUMMER,13.333333333333314,36.66666666666663,538.3333333333334,415.5555555555556
1982,13868,91,1,2,PERSONNUMMER,12.777777777777771,36.66666666666663,539.4444444444445,445
1982,10740,91,1,0,PERSONNUMMER,10.555555555555543,32.77777777777777,478.33333333333337,247.22222222222223
1983,23684,107,1,0,PERSONNUMMER,12.222222222222229,37.77777777777777,391.6666666666667,162.22222222222223
1983,23684,107,1,1,PERSONNUMMER,12.777777777777771,37.22222222222223,471.6666666666667,198.33333333333334
1983,23684,107,1,2,PERSONNUMMER,11.666666666666657,37.22222222222223,317.77777777777777,216.66666666666669
1982,3122,48,1,0,PERSONNUMMER,12.222222222222229,37.22222222222223,466.11111111111114,196.11111111111111
1982,3122,48,1,1,PERSONNUMMER,12.222222222222229,38.33333333333334,177.77777777777777,250
1982,9250,101,1,0,PERSONNUMMER,9.210526315789451,35.78947368421046,448.1578947368419,136.0526315789473
1982,9250,101,1,1,PERSONNUMMER,10.52631578947367,36.05263157894734,426.8421052631577,171.57894736842098
1982,9250,101,1,2,PERSONNUMMER,9.73684210526315,36.05263157894734,440.5263157894735,189.73684210526307
1982,9250,101,1,3,PERSONNUMMER,11.052631578947384,35.26309995277754,505.5263737314329,207.36842105263176
1982,6075,61,1,0,PERSONNUMMER,10,32.22222222222223,277.77777777777777,148.88888888888889
1982,6075,61,1,1,PERSONNUMMER,11.111111111111114,29.444444444444457,272.77777777777777,202.22222222222223
1983,300617,3,1,0,PERSONNUMMER,15.555555555555543,36.11111111111114,247.22222222222223,545
1983,300617,3,1,1,PERSONNUMMER,18.33333333333337,52.22222222222223,240,578.8888888888889
1982,7973,23,1,0,PERSONNUMMER,13.947368421052659,49.73684210526312,319.2105263157893,296.31578947368405
1982,7973,23,1,1,PERSONNUMMER,9.21052631578948,36.05263157894734,468.42105263157873,223.94736842105252
1983,4576,14,1,0,PERSONNUMMER,13.888888888888914,41.111111111111086,489.44444444444446,157.77777777777777
1983,4576,14,1,1,PERSONNUMMER,15,38.8888888888889,107.77777777777779,192.7777777777778
1983,4576,14,1,2,PERSONNUMMER,13.333333333333343,38.33333333333337,410,193.88888888888889
1983,7598,67,1,0,PERSONNUMMER,16.111111111111143,42.777777777777715,526.6666666666667,350.55555555555554
1983,7598,67,1,1,PERSONNUMMER,11.111111111111086,31.111111111111114,186.11111111111111,686.6666666666667
1983,7598,67,1,2,PERSONNUMMER,9.444444444444457,33.888888888888914,436.6666666666667,682.7777777777778
1983,3855,97,2,0,PERSONNUMMER,13.333333333333371,55.00000000000003,232.22199544501788,615.00010322261
1983,429,43,1,0,PERSONNUMMER,9.444444444444457,37.77777777777777,301.6666666666667,84.44444444444444
1983,25079,106,1,0,PERSONNUMMER,16.666666666666686,49.44444444444446,532.7777777777778,332.22222222222223
1983,3994,78,1,0,PERSONNUMMER,8.68421052631578,34.73684210526312,535.7894736842103,403.42105263157873
1983,4400,16,1,0,PERSONNUMMER,12.777777777777771,36.111111111111086,494.44444444444446,268.8888888888889
1983,4400,16,1,1,PERSONNUMMER,10.5555555555556,36.111111111111086,493.33333333333337,347.77777777777777
1983,3291,36,1,0,PERSONNUMMER,9.444444444444457,35.55555555555557,190,246.11111111111111
1983,3291,36,1,1,PERSONNUMMER,10.555555555555543,35,543.8888888888889,346.6666666666667
1983,3291,36,2,2,PERSONNUMMER,11.111111111111086,34.4444444444444,430.5555555555556,274.44444444444446
1983,3291,36,2,3,PERSONNUMMER,10.555555555555543,40,421.6666666666667,286.11111111111114
1984,33715,100,1,0,PERSONNUMMER,10,36.11111111111114,465,252.22222222222223
1984,33715,100,1,1,PERSONNUMMER,11.111111111111086,33.88888888888886,465.5555555555556,323.8888888888889
1984,33715,100,1,2,PERSONNUMMER,10,36.11111111111114,464.44444444444446,336.6666666666667
1984,33715,100,1,3,PERSONNUMMER,10.555555555555543,35.55555555555554,278.33333333333337,530.5555555555555
1983,311,39,1,0,PERSONNUMMER,10.78947368421052,43.9473684210526,405.78947368421035,134.47368421052624
1983,311,39,1,1,PERSONNUMMER,13.15789473684211,40,403.94736842105243,149.2105263157894
1983,311,39,5,2,PERSONNUMMER,8.94736842105262,33.684369267306614,333.1577359958514,251.05263157894717
1983,311,39,5,3,PERSONNUMMER,12.10519751740073,50.0000000000001,218.42105263157964,451.0526972194428
1983,311,39,5,4,PERSONNUMMER,18.15789473684208,62.89473684210526,479.73684210526295,467.1052631578945
1984,106302,58,1,0,PERSONNUMMER,11.111111111111114,31.66666666666663,552.2222222222223,244.44444444444446
1984,106302,58,1,1,PERSONNUMMER,11.111111111111086,32.77777777777783,515.5555555555555,269.44444444444446
1984,106302,58,1,2,PERSONNUMMER,12.777777777777771,33.888888888888914,513.8888888888889,289.44444444444446
1984,106302,58,1,3,PERSONNUMMER,13.333333333333314,39.44444444444446,547.2222222222223,287.22222222222223
1984,14192,100,1,0,PERSONNUMMER,11.111111111111114,30.55555555555557,131.11111111111111,188.33333333333334
1984,2555,55,1,0,PERSONNUMMER,11.666666666666657,36.666666666666686,428.8888888888889,103.8888888888889
1984,2555,55,1,1,PERSONNUMMER,12.777777777777771,37.77777777777783,377.77777777777777,121.11111111111111
1984,2555,55,1,2,PERSONNUMMER,11.111111111111114,35.55555555555554,480,140
1984,5675,23,1,0,PERSONNUMMER,11.111111111111143,35.55555555555554,293.33333333333337,275
1984,5675,23,1,1,PERSONNUMMER,10.555555555555571,41.11111111111114,410,248.33333333333334
1984,8877,47,1,0,PERSONNUMMER,10.5555555555556,33.333333333333314,368.8888888888889,265.55555555555554
1984,401737,75,1,0,PERSONNUMMER,12.222222222222229,50,368.8888888888889,301.11111111111114
1984,401737,75,2,1,PERSONNUMMER,15.555555555555657,55,377.77777777777777,536.1111111111111
1984,401737,75,2,2,PERSONNUMMER,20,55.55555555555554,158.33333333333334,745.5555555555555
1984,401737,75,2,3,PERSONNUMMER,18.888888888888914,50.55555555555554,388.8888888888889,745.5555555555555
1985,2641,70,1,0,PERSONNUMMER,16.111111111111086,48.33333333333326,537.2222222222223,306.6666666666667
1985,2641,70,1,1,PERSONNUMMER,18.888888888888857,48.888888888888914,533.8888888888889,411.11111111111114
1984,4462,66,1,0,PERSONNUMMER,11.111111111111143,37.22222222222223,282.22222222222223,330.55555555555554
1984,4462,66,1,1,PERSONNUMMER,11.111111111111143,37.77777777777777,281.6666666666667,342.77777777777777
1984,4462,66,1,2,PERSONNUMMER,10.5555555555556,36.666666666666686,282.77777777777777,355.55555555555554
1984,4462,66,1,3,PERSONNUMMER,10.5555555555556,36.666666666666686,282.77777777777777,367.77777777777777
1984,4462,66,1,4,PERSONNUMMER,10,37.22222222222223,282.22222222222223,379.44444444444446
1984,4462,66,1,5,PERSONNUMMER,10,36.666666666666686,281.66690886192447,391.66666666666674
1984,4462,66,1,6,PERSONNUMMER,10.555555555555543,36.666666666666686,281.66690886192447,403.3332301107236
1984,4462,66,1,7,PERSONNUMMER,10,37.22222222222223,282.22222222222223,416.11111111111114
1984,4462,66,1,8,PERSONNUMMER,10.5555555555556,37.77777777777777,281.6666666666667,427.77777777777777
1985,7228,28,1,0,PERSONNUMMER,10.555555555555543,33.888888888888914,527.7777777777778,299.44444444444446
1985,7228,28,1,1,PERSONNUMMER,11.666666666666686,33.888888888888914,538.3333333333334,406.6666666666667
1985,7228,28,1,2,PERSONNUMMER,10.5555555555556,34.44444444444446,538.3333333333334,420
1985,7228,28,2,3,PERSONNUMMER,10,31.666666666666686,336.6666666666667,594.4444444444445
1985,5408,15,1,0,PERSONNUMMER,13.333333333333343,37.77777777777777,430,158.33333333333334
1985,18654,105,1,0,PERSONNUMMER,10.555555555555543,35.55555555555557,240.55555555555557,264.44444444444446
1985,5210,26,1,0,PERSONNUMMER,16.111111111111086,45,430.5555555555556,283.33333333333337
1985,8354,37,1,0,PERSONNUMMER,10.555555555555571,31.666666666666686,335.55555555555554,120
1985,8354,37,1,1,PERSONNUMMER,9.444444444444429,30.5555555555556,262.77777777777777,192.7777777777778
1985,8354,37,1,2,PERSONNUMMER,10,31.666666666666657,231.11111111111111,210.55555555555557
1985,8354,37,1,3,PERSONNUMMER,10.555555555555543,30.55555555555557,250.55555555555557,228.33333333333334
1985,7619,68,1,0,PERSONNUMMER,10.555555555555543,28.8888888888888,542.2222222222223,411.6666666666667
1985,3405,77,1,0,PERSONNUMMER,11.666666666666657,35.55555555555554,494.44444444444446,180.55555555555557
1985,9695,93,1,0,PERSONNUMMER,11.666666666666629,38.33333333333337,528.8888888888889,385.5555555555556
1985,9784,50,1,0,PERSONNUMMER,11.666666666666671,37.22222222222223,407.77777777777777,95
1985,9784,50,1,1,PERSONNUMMER,11.666666666666657,37.22222222222223,348.8888888888889,131.11111111111111
1985,9784,50,1,2,PERSONNUMMER,16.111111111111086,73.33333333333331,475.5555555555556,401.6666666666667
1985,9784,50,1,3,PERSONNUMMER,17.777777777777295,49.44444444444446,463.88888888888914,436.6666666666672
1985,7996,30,1,0,PERSONNUMMER,12.777777777777828,37.22222222222217,537.2222222222223,315.55555555555554
1985,7996,30,1,1,PERSONNUMMER,12.777777777777771,38.888888888888914,535.5555555555555,423.8888888888889
1986,3173,30,1,0,PERSONNUMMER,10,35,427.77777777777777,135
1986,3173,30,1,1,PERSONNUMMER,10.555555555555543,34.4444444444444,400.5555555555556,224.44444444444446
1986,17743,105,1,0,PERSONNUMMER,11.666666666666686,36.11111111111114,501.11111111111114,275.55555555555554
1986,17743,105,1,1,PERSONNUMMER,12.222222222222172,38.33333333333337,498.8888888888889,323.33333333333337
1986,17743,105,1,2,PERSONNUMMER,10,37.222222222222285,499.44444444444446,337.22222222222223
1986,1338,72,1,0,PERSONNUMMER,14.999999999999998,47.36846076013905,524.9999602924923,339.99999999999994
1986,1338,72,1,1,PERSONNUMMER,13.157894736842081,41.31578947368416,531.8421052631577,405.78947368421035
1980,410038,90,1,0,PERSONNUMMER,10.129278882197253,31.410431658505246,401.7092965604568,285.5121888928264
1980,410038,90,1,1,PERSONNUMMER,12.777777777777771,31.111111111111086,436.6666666666667,176.66666666666669
1980,410038,90,1,2,PERSONNUMMER,11.666666666666629,29.444444444444457,384.44444444444446,303.33333333333337
1980,410038,90,1,3,PERSONNUMMER,16.111111111111086,49.99947591781429,311.11163519329705,577.7777777777778
1986,12673,8,1,0,PERSONNUMMER,11.666666666666657,33.333333333333314,391.11111111111114,118.33333333333334
1986,12673,8,1,1,PERSONNUMMER,11.666666666666657,31.66666666666663,302.7772939707976,227.22222222222223
