Document,Page,Time(s),TP,FP,FN
1980_14847_101,2,1.7,2,0,0
1980_118_63,4,3.8,0,0,0
1980_4201_22,2,1.7,1,0,1
1980_2377_31,1,0.9,1,0,1
1980_410038_90,2,1.8,4,1,0
1980_1349_50,2,1.8,2,0,0
1980_302290_3,2,1.9,0,0,0
1980_2784_27,2,2.7,1,0,1
1980_3856_18,2,1.7,2,0,0
1980_3248_8,2,1.6,0,0,0
1980_4593_32,2,2.5,0,0,1
1980_8442_93,4,4.9,1,0,0
1980_409084_90,2,1.9,0,0,0
1980_462_70,4,3.5,0,0,0
1980_6328_72,1,1.2,1,0,0
1980_9859_19,3,2.4,1,1,0
1980_1381_61,1,1.2,2,0,1
1980_9233_47,4,3.9,0,0,0
1980_305976_61,4,3.4,0,0,0
1980_9460_87,2,1.9,1,0,2
1980_10092_60,2,1.7,0,0,0
1980_174_23,2,2.1,1,0,0
1981_1371_67,2,1.7,1,0,1
1981_9909_49,1,1.3,3,0,0
1981_1228_90,2,1.3,0,0,0
1981_5855_60,2,1.5,0,0,0
1981_2432_51,10,8.7,1,0,0
1981_5193_13,2,1.5,0,0,1
1981_4024_57,1,1.1,2,0,0
1981_2972_25,1,0.9,0,0,1
1981_5909_61,4,3.1,0,0,0
1981_10132_11,2,1.8,0,0,0
1981_1721_101,1,1.0,0,2,2
1981_3907_90,2,2.0,4,0,0
1981_11475_25,2,2.0,0,0,0
1981_9760_49,2,1.8,0,0,0
1981_3805_87,2,2.1,0,0,0
1981_6214_29,2,2.6,8,0,0
1981_16389_100,2,2.1,0,0,1
1981_1056_91,3,3.5,0,0,0
1981_9568_60,1,0.9,0,0,0
1981_29505_105,2,2.3,3,0,0
1981_11000_100,3,2.6,0,0,0
1981_15613_102,4,4.3,3,0,2
1982_29367_106,2,2.2,0,0,0
1982_6226_64,2,1.8,1,0,0
1982_5739_20,1,0.9,0,0,0
1982_3122_48,2,2.2,2,0,0
1982_4851_61,4,2.9,0,0,0
1982_18068_106,2,2.0,0,0,0
1982_9250_101,1,1.5,4,0,0
1982_4195_15,2,1.7,0,0,0
1982_6075_61,1,1.4,2,0,0
1982_660_35,2,1.9,0,0,0
1982_2178_77,4,3.8,0,0,0
1982_2167_42,2,1.9,0,0,1
1982_13250_101,4,3.2,1,0,0
1982_1140_85,2,2.3,0,0,0
1982_3845_26,2,2.5,0,0,0
1982_441_74,2,1.6,1,0,1
1982_7973_23,8,6.7,1,0,1
1982_3750_23,2,2.1,2,0,0
1982_380_28,2,2.3,0,0,0
1982_10740_91,2,2.9,1,0,0
1982_13868_91,2,2.4,3,0,0
1982_4790_18,2,2.3,0,0,0
1983_23684_107,2,2.5,3,0,0
1983_6470_91,2,2.3,0,0,0
1983_906399_69,2,2.1,0,0,0
1983_14354_106,2,1.9,0,0,0
1983_300617_3,1,1.0,0,0,2
1983_374_48,2,2.0,0,0,0
1983_3855_97,2,1.8,0,0,1
1983_3994_78,2,2.1,1,0,0
1983_9811_100,10,8.6,0,0,0
1983_7598_67,2,1.7,2,0,1
1983_8269_102,2,1.5,0,0,0
1983_4576_14,1,1.2,2,0,1
1983_25079_106,2,2.1,1,0,0
1983_3291_36,2,2.1,3,0,1
1983_1161_70,2,1.6,0,0,0
1983_4051_49,2,1.8,0,0,0
1983_311_39,6,5.3,3,0,2
1983_2482_57,4,3.7,0,0,0
1983_4687_77,2,2.0,0,0,0
1983_429_43,2,1.8,0,0,1
1983_4400_16,2,2.2,2,0,0
1984_6117_1,2,1.8,0,0,0
1984_12775_49,2,1.9,3,0,0
1984_409585_90,2,1.5,1,1,0
1984_5675_23,1,1.5,0,0,2
1984_7349_86,1,1.0,3,0,0
1984_4789_19,2,1.7,0,0,0
1984_34388_106,4,3.7,0,0,0
1984_4462_66,2,2.1,7,0,2
1984_11734_86,4,3.6,0,0,0
1984_849_45,2,1.5,0,0,0
1984_5880_16,2,1.9,0,0,0
1984_33715_100,1,1.4,3,0,1
1984_217_57,1,0.8,0,0,0
1984_106302_58,2,2.2,0,0,4
1984_9630_5,4,4.8,0,0,0
1984_5471_56,4,4.0,0,0,0
1984_2374_17,2,1.5,0,0,0
1984_14192_100,2,2.1,1,0,0
1984_2555_55,2,2.4,3,0,0
1984_1785_80,2,1.6,0,0,0
1984_8877_47,2,1.7,1,0,0
1984_401737_75,4,3.9,4,1,0
1985_756_52,2,1.8,0,0,0
1985_2641_70,2,2.1,1,0,1
1985_1550_25,1,0.9,0,0,0
1985_2979_80,2,1.6,0,0,0
1985_7228_28,2,1.9,4,0,0
1985_6978_80,2,1.7,0,0,0
1985_5408_15,4,23.0,1,0,0
1985_10878_58,2,14.3,0,0,0
1985_22275_101,2,16.2,0,0,0
1985_18654_105,2,11.8,1,0,0
1985_3069_11,2,15.4,0,0,0
1985_7996_30,2,13.8,2,0,0
1985_5210_26,2,11.3,0,0,1
1985_8354_37,2,23.0,3,0,1
1985_24465_105,52,359.6,0,0,0
1985_8545_20,2,15.1,0,0,0
1985_7619_68,2,14.9,1,0,0
1985_23863_100,2,16.9,0,0,0
1985_10000_106,3,21.2,0,0,0
1985_9784_50,2,17.1,4,0,0
1985_3405_77,4,44.7,0,0,1
1985_9695_93,1,7.9,1,0,0
1986_8844_105,2,14.8,0,0,0
1986_12087_10,1,6.1,0,0,0
1986_3173_30,2,12.5,2,0,0
1986_17743_105,1,8.7,3,0,0
1986_7207_23,2,19.9,0,1,3
